["port1","LEFT"]
["port2","RIGHT"]
["port3","LEFT"]
["port4","RIGHT"]
("port1","mode 1",1,"port1",1,"transmission",2.18625e-12)
(23, 3)
1.9034441777777778e+14 2.2575443584907120e-02 1.4461407487401212e+00
1.9068879090204678e+14 1.9817903996268489e-02 1.1426379649794343e+00
1.9103316402631578e+14 1.6887636294522314e-02 6.3594212345561252e-01
1.9137753715058481e+14 1.6427482219378779e-02 2.3360784142564764e-01
1.9172191027485381e+14 1.4505886007617857e-02 -1.2174917471786639e-01
1.9206628339912281e+14 1.2293735876523290e-02 -5.2754877259836752e-01
1.9241065652339181e+14 1.1612147999626973e-02 -9.5519536026081253e-01
1.9275502964766081e+14 1.0067344200645806e-02 -1.2092869232085077e+00
1.9309940277192984e+14 8.2824304214716895e-03 -1.7070439358939777e+00
1.9344377589619884e+14 8.7193830345170687e-03 -1.9727153741387233e+00
1.9376877020556581e+14 6.2598882837713614e-03 -2.2109449419952489e+00
1.9378814902046784e+14 6.3711655039664179e-03 -2.2073746507764560e+00
1.9380752783536988e+14 6.5116169701887163e-03 -2.2109449419952489e+00
1.9413252214473684e+14 5.8471443893963583e-03 -2.7640758759084907e+00
1.9447689526900584e+14 6.2264182961541178e-03 -2.9951551810642476e+00
1.9482126839327488e+14 5.1009331749818877e-03 -3.0742507054981698e+00
1.9516564151754388e+14 3.0803196590245725e-03 -3.7081904212371870e+00
1.9551001464181288e+14 5.1450970793836467e-03 -4.1212054307754187e+00
1.9585438776608188e+14 4.2612476851970910e-03 -3.8133090058075463e+00
1.9619876089035088e+14 1.5725312264512497e-03 -4.5590981966687787e+00
1.9654313401461991e+14 3.2157161782803765e-03 -5.1015786949208737e+00
1.9688750713888891e+14 3.4884122142865180e-03 -4.8762235034748027e+00
1.9723188026315791e+14 2.3117784354485305e-03 -4.4540130368703146e+00
("port1","mode 1",1,"port2",1,"transmission",9.3459892476991502e-307)
(23, 3)
1.9034441777777778e+14 0.0000000000000000e+00 0.0000000000000000e+00
1.9068879090204678e+14 0.0000000000000000e+00 0.0000000000000000e+00
1.9103316402631578e+14 0.0000000000000000e+00 0.0000000000000000e+00
1.9137753715058481e+14 0.0000000000000000e+00 0.0000000000000000e+00
1.9172191027485381e+14 0.0000000000000000e+00 0.0000000000000000e+00
1.9206628339912281e+14 0.0000000000000000e+00 0.0000000000000000e+00
1.9241065652339181e+14 0.0000000000000000e+00 0.0000000000000000e+00
1.9275502964766081e+14 0.0000000000000000e+00 0.0000000000000000e+00
